N,Triton,Torch (native),Torch (compiled)
256.0,372.4,390.1,409.6
384.0,409.6,423.7,409.6
512.0,431.2,431.2,431.2
640.0,445.2,445.2,435.7
768.0,446.8,454.8,446.8
896.0,448.0,455.1,448.0
1024.0,455.1,455.1,455.1
1152.0,455.1,460.8,449.6
1280.0,460.2,460.2,460.2
1408.0,464.5,464.5,459.8
1536.0,459.4,463.7,459.4
1664.0,463.0,471.2,459.0
1792.0,462.5,470.0,462.5
1920.0,462.0,469.0,462.0
2048.0,464.8,471.5,464.8
2176.0,470.5,473.7,464.2
2304.0,472.6,472.6,466.6
2432.0,471.7,474.5,466.0
2560.0,473.5,473.5,468.1
2688.0,472.6,475.2,467.5
2816.0,474.3,476.8,469.3
2944.0,473.4,475.8,471.0
3072.0,472.6,477.2,470.4
3200.0,471.9,476.3,469.7
3328.0,473.3,477.6,471.2
3456.0,472.6,478.8,470.6
3584.0,472.0,479.9,472.0
3712.0,471.4,479.0,471.4
3840.0,470.8,478.1,470.8
3968.0,470.3,479.2,472.0
4096.0,471.5,480.1,471.5
4224.0,469.3,479.3,472.6
4352.0,468.9,480.2,472.1
4480.0,470.0,479.5,473.1
4608.0,471.1,480.3,472.6
4736.0,469.2,479.6,473.6
4864.0,470.2,481.9,473.1
4992.0,469.8,479.7,474.0
5120.0,472.2,481.9,473.5
5248.0,471.7,481.2,474.4
5376.0,472.6,480.5,473.9
5504.0,472.2,481.2,474.7
5632.0,473.0,481.9,474.3
5760.0,472.6,480.0,475.1
5888.0,472.2,481.9,474.6
6016.0,473.0,478.9,473.0
6144.0,473.8,483.1,474.9
6272.0,473.4,479.0,474.5
6400.0,473.0,481.9,474.1
6528.0,473.7,481.3,474.8
6656.0,474.4,483.0,475.4
6784.0,474.0,481.3,474.0
6912.0,474.6,481.9,474.6
7040.0,474.3,481.4,475.3
7168.0,473.9,482.9,474.9
7296.0,473.6,481.4,474.5
7424.0,474.2,481.9,475.1
7552.0,473.9,481.4,474.8
7680.0,474.4,482.8,475.4
7808.0,475.0,482.3,475.0
7936.0,474.7,482.8,475.6
8064.0,475.2,483.2,475.2
8192.0,474.9,481.9,474.9
8320.0,472.1,483.2,476.3
8448.0,471.0,483.6,476.8
8576.0,472.3,483.2,475.6
8704.0,473.7,481.9,475.3
8832.0,472.6,482.3,475.8
8960.0,473.1,482.7,475.5
9088.0,473.6,483.9,476.7
9216.0,473.4,479.5,475.3
9344.0,473.9,482.3,475.4
9472.0,473.6,484.2,476.6
9600.0,473.7,483.8,475.5
9728.0,473.8,481.9,475.3
9856.0,474.3,477.1,473.6
9984.0,474.4,483.3,476.1
10112.0,475.2,484.4,476.2
10240.0,475.6,482.6,475.6
10368.0,474.6,482.9,476.0
10496.0,475.1,484.7,476.4
10624.0,474.8,483.6,475.5
10752.0,475.2,482.6,475.9
10880.0,475.0,482.2,475.6
11008.0,474.7,482.5,475.4
11136.0,475.1,484.2,477.0
11264.0,475.5,483.2,475.5
11392.0,475.3,481.6,475.3
11520.0,475.7,485.1,476.9
11648.0,475.4,484.1,476.0
11776.0,475.2,482.5,476.4
11904.0,475.6,482.8,476.2
12032.0,475.3,484.0,475.9
12160.0,475.1,484.6,476.9
12288.0,476.0,482.5,475.5
12416.0,475.8,482.2,476.4
12544.0,475.6,484.8,476.7
12672.0,475.4,483.9,475.9
